# VM invoker: C:\Program Files\Java\jdk1.8.0_65\jre\bin\java.exe
# VM options: -Dfile.encoding=UTF-8
# Warmup: 3 iterations, 1 s each
# Measurement: 50 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Sampling time
# Benchmark: org.ucsc.capnp.bench.RunCapnpCar.CapnpUse

# Run progress: 0.00% complete, ETA 00:08:50
# Fork: 1 of 10
Iteration  20: n = 18478, mean = 1016 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2564, 2992, 8480, 24800 ns/op
Iteration  21: n = 18479, mean = 1044 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 98515, 521728 ns/op
Iteration  22: n = 18493, mean = 1046 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 89166, 570368 ns/op
Iteration  23: n = 18581, mean = 1080 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 629547, 684032 ns/op
Iteration  24: n = 18491, mean = 1045 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2564, 2992, 103107, 534528 ns/op
Iteration  25: n = 18521, mean = 1011 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 5128, 5128 ns/op
Iteration  26: n = 18275, mean = 1028 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2992, 3302, 15780, 21792 ns/op
Iteration  27: n = 18290, mean = 1067 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2992, 2992, 153767, 758784 ns/op
Iteration  28: n = 18466, mean = 1013 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2136, 2992, 3420, 3420 ns/op
Iteration  29: n = 18560, mean = 1011 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 18012, 18368 ns/op
Iteration  30: n = 18565, mean = 1014 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 14970, 20096 ns/op
Iteration  31: n = 18356, mean = 1020 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2564, 2992, 9230, 19232 ns/op
Iteration  32: n = 18476, mean = 1014 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 6722, 17952 ns/op
Iteration  33: n = 18517, mean = 1017 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 15390, 25216 ns/op
Iteration  34: n = 18321, mean = 1060 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2564, 5984, 114999, 647168 ns/op
Iteration  35: n = 18491, mean = 1014 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2136, 5128, 6048, 6408 ns/op
Iteration  36: n = 18525, mean = 1014 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 26939, 29504 ns/op
